timestamp,sn,text,EST
2019-05-23 03:21:46,McLovin_0228,RT @buckeyegirl25: I never would have guessed the Reilly sisters knew how to gut a fish. (Full disclosure: I wouldn’t have a clue how to gu…,2019-05-22 22:21:46
2019-05-23 03:21:39,globalboliek,Tonight’s  @AmazingRaceCBS hit me in my feels. @tyleroakley &amp; @koreykuhl remind those of us who are queer &amp; the wor… https://t.co/grGrtcAXU3,2019-05-22 22:21:39
2019-05-23 03:21:35,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft G Update:
@cindyab @PANDAmonium747 @markopolo310 @Lancelot_Draper… https://t.co/g4JHthx0NS",2019-05-22 22:21:35
2019-05-23 03:21:35,McLovin_0228,RT @BB_timc: Now we need the mom squad on a BB season together #BB21 😉 #AmazingRace,2019-05-22 22:21:35
2019-05-23 03:21:28,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft F Update:
@hifromgrace @aliciajrosen @seantucker94 @TheMathBandit @TovahAtha… https://t.co/C8TzvpzSqU",2019-05-22 22:21:28
2019-05-23 03:21:20,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft E Update:
@DaraMirzaie @EdJo69 @NikiPhili @golden8284 @TheDylandConrad… https://t.co/0eHpnIaT9V",2019-05-22 22:21:20
2019-05-23 03:20:55,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft D Update:
@JasonCurtisR @BeccaDevens @christineknap @AlexMRubino @Johnny_Lew… https://t.co/0drxh6Io0j",2019-05-22 22:20:55
2019-05-23 03:20:43,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft C Update:
@randyknup @djlabelleklein @vibrientyoga @CAVX @unsuccessstory… https://t.co/ECMN4Puzin",2019-05-22 22:20:43
2019-05-23 03:20:36,feministbeetch,"RT @BB_timc: When Phil announced that it's a non-elim leg, Team Reilly be like #AmazingRace https://t.co/ykRS7XVZmY",2019-05-22 22:20:36
2019-05-23 03:20:34,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft B Update:
@mcbeangreg @KatelynGlacken @jennyautumn @AHFeldwoman @randyknup… https://t.co/9jPqoFRPfK",2019-05-22 22:20:34
2019-05-23 03:20:24,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft A Update:
@TheJessSterling @randyknup @abschnitzer @allisonjeannn… https://t.co/MMNyogEErO",2019-05-22 22:20:24
2019-05-23 03:20:22,TheShonBailey,RT @IGIF_: Elisa to Rachel. 😂 #AmazingRace #TAR31 https://t.co/8w2fbjuaEU,2019-05-22 22:20:22
2019-05-23 03:17:54,CaitlinNetzer,“Are you feeling what I’m feeling? And a lot of people were not.” -@tyleroakley HAHAHA actual tears 😂 #AmazingRace,2019-05-22 22:17:54
2019-05-23 03:16:31,IGIF_,Elisa to Rachel. 😂 #AmazingRace #TAR31 https://t.co/8w2fbjuaEU,2019-05-22 22:16:31
2019-05-23 03:15:20,evett_chiu,RT @RachelEReilly: Please send the @ElissaReillyS hushing me gifs when I’m crying I literally can’t wait ❤️🙌 this will be our new way to st…,2019-05-22 22:15:20
2019-05-23 03:13:57,gfisherz,#AmazingRace dang!! Rachel needs to be eliminated already.. cant stand her drama.. and please dont bring her back..,2019-05-22 22:13:57
2019-05-23 03:13:53,TeamElissa1,@ElissaReillyS @RachelEReilly #TeamReillySisters #sistersister #sistasista #sisters #AmazingRace #TAR31… https://t.co/tt0nLexxlH,2019-05-22 22:13:53
2019-05-23 03:13:35,FelixsFosterSis,Phil trying to make these head to heads exciting  #AmazingRace https://t.co/7N0MP7Yk64,2019-05-22 22:13:35
2019-05-23 03:11:03,JayHartDMP,"#AmazingRace Sea. 31, Ep. 5 &amp; 6: Two very fun and exciting legs. I like that the team are very close to each other.… https://t.co/84wOBPChEc",2019-05-22 22:11:03
2019-05-23 03:10:39,sassy_mel,RT @SrslyChris: Elissa getting fed up with Rachel’s sentimental crying is everything. #AmazingRace,2019-05-22 22:10:39
2019-05-23 03:10:22,Reddzz730,Rachel and that lip poke she dose when she loses lol 😂😂🤦🏽‍♀️🤦🏽‍♀️ I’m still #TeamReilly thou   #AmazingRace https://t.co/JSfcZYBbNc,2019-05-22 22:10:22
2019-05-23 03:09:16,sassy_mel,"RT @Brian_Scally: Me when Phil tells Rachel and Elissa it’s a non elimination leg:
#AmazingRace https://t.co/9edTtGsKdR",2019-05-22 22:09:16
2019-05-23 03:08:49,Theater_Poverty,"#AmazingRace the fact that you had an episode in Uganda, a country that had the death penalty for homosexuality unt… https://t.co/qkTJMSDdF4",2019-05-22 22:08:49
2019-05-23 03:08:42,justoofthings,"RT @HaymakerHattie: You know how Phil was up for Jeff Probst’s job and vice versa? If you ever doubted the right decision was made, watchin…",2019-05-22 22:08:42
2019-05-23 03:08:42,TipsyMic,And that is how women support each other! #teammom #AmazingRace,2019-05-22 22:08:42
2019-05-23 03:08:26,SarahQuider,"Phil is excited for another episode! #winegirls #amazingrace 
@PhilKeoghan @AmazingRaceCBS @jodiwincheski https://t.co/yH7ndRd9gG",2019-05-22 22:08:26
2019-05-23 03:07:39,itssavannahjade,@ElissaReillyS @RachelEReilly @AmazingRaceCBS I’m so sad y’all came in last but i’m so glad it’s a non elim leg! I… https://t.co/uUfKf1f81r,2019-05-22 22:07:39
2019-05-23 03:07:11,SprnkleofSchoee,@tyleroakley @koreykuhl YESS BOYSSSS I KNEW Y’ALL COULD DO IT!!! FOURTH PLACE!!!! #TeamTylerandKorey #AmazingRace,2019-05-22 22:07:11
2019-05-23 03:07:06,mattjuniper,"RT @tyleroakley: tonight on #AmazingRace, queer contestants were sent to locations where being queer is a crime. being there with protectio…",2019-05-22 22:07:06
2019-05-23 03:07:06,RealityRecaps,My stupid @TiVo has once again not recorded #AmazingRace and it’s not on the cbs app yet... does anybody have a lin… https://t.co/uoCfZ2U8vw,2019-05-22 22:07:06
2019-05-23 03:06:21,morfair71,@JanellePierzina I’m devastated you were eliminated on Amazing Race but would have loved for @PhilKeoghan to say By… https://t.co/l6tE2QLF86,2019-05-22 22:06:21
2019-05-23 03:06:08,MrUNotReady,@RachelEReilly You Already Know!!❤🙂#AmazingRace,2019-05-22 22:06:08
2019-05-23 03:05:55,SolaceBiersack,RT @JustinClassic1: Ok I actually liked this head to head and am happy to see #TeamTylerandKorey win a leg! #AmazingRace #RacersRecap https…,2019-05-22 22:05:55
2019-05-23 03:05:37,DarkSkyDestiny,"RT @tyleroakley: tonight on #AmazingRace, queer contestants were sent to locations where being queer is a crime. being there with protectio…",2019-05-22 22:05:37
2019-05-23 03:05:00,SolaceBiersack,RT @PhilKeoghan: Yes indeed @tyleroakley and @koreykuhl sure do know how to crush it on #AmazingRace https://t.co/DQzJMqJTuC,2019-05-22 22:05:00
2019-05-23 03:04:52,joparke,Rachel on #AmazingRace has real issues. I am not sure if to laugh or be uncomfortable! Even Phil had enough of the… https://t.co/AT2SpkJXrr,2019-05-22 22:04:52
2019-05-23 03:04:34,wtfjag,@RachelEReilly @AIPChristina Rach - you need to stop bothering with these haters. They ain't worth anything so do t… https://t.co/K3kROb90Sn,2019-05-22 22:04:34
2019-05-23 03:04:04,McLovin_0228,"RT @BB_timc: When Phil announced that it's a non-elim leg, Team Reilly be like #AmazingRace https://t.co/ykRS7XVZmY",2019-05-22 22:04:04
2019-05-23 03:01:55,DrWillHatch,"RT @HaymakerHattie: You know how Phil was up for Jeff Probst’s job and vice versa? If you ever doubted the right decision was made, watchin…",2019-05-22 22:01:55
2019-05-23 03:00:53,AnneEllerson,RT @AmazingRaceCBS: This looks FUN. #AmazingRace https://t.co/KHQvKHE3l2,2019-05-22 22:00:53
2019-05-23 03:00:52,Pamela_Jocelyn,"RT @tyleroakley: tonight on #AmazingRace, queer contestants were sent to locations where being queer is a crime. being there with protectio…",2019-05-22 22:00:52
2019-05-23 03:00:48,AnneEllerson,RT @AmazingRaceCBS: Let’s hope they’re good at math. #AmazingRace https://t.co/7kCbjkDZDr,2019-05-22 22:00:48
2019-05-23 03:00:44,JoelBBCAN,RT @RachelEReilly: Please send the @ElissaReillyS hushing me gifs when I’m crying I literally can’t wait ❤️🙌 this will be our new way to st…,2019-05-22 22:00:44
